lemma,n_total,n_texts,texts,bare_proportion,determiner_proportion,quantifier_proportion,numeral_proportion,genitive_proportion,cluster_raw_k8,cluster_arc_k8,cluster_raw_k12,cluster_arc_k12
man,1719,10,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23;colawaf_o2,0.5625,0.2251,0.2065,0.0175,0.2461,5,1,5,4
mod,565,8,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cocura_o2;coeuphr;coeust;colacnu_o23,0.5504,0.4106,0.0336,0.0053,0.2018,0,4,0,6
cyning,555,10,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23;colawaf_o2,0.555,0.4144,0.0198,0.0198,0.1982,0,4,0,6
god,468,8,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust,0.4573,0.3953,0.2009,0.0171,0.1731,5,1,5,4
þing,440,9,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colawaf_o2,0.3227,0.2909,0.4091,0.0545,0.1841,4,1,4,4
dæg,386,10,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23;colawaf_o2,0.3187,0.4637,0.1218,0.1321,0.1503,0,6,3,2
word,327,9,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23,0.4924,0.4281,0.0765,0.0183,0.0826,0,6,3,2
lif,311,10,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23;colawaf_o2,0.5273,0.4373,0.0354,0.0,0.3826,0,4,0,6
weorc,309,8,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cocura_o2;coeuphr;coeust;colawaf_o2,0.7023,0.233,0.0777,0.0032,0.2557,0,4,0,6
yfel,271,9,cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23;colawaf_o2,0.5867,0.2841,0.1476,0.0221,0.1476,5,1,10,4
weorold,262,6,cobenrul_o3;coblick_o23;coboeth_o2;cocura_o2;coeuphr;coeust,0.3206,0.626,0.0649,0.0,0.313,3,3,8,3
lichama,246,7,cobenrul_o3;coblick_o23;coboeth_o2;cocura_o2;coeuphr;coeust;colacnu_o23,0.5081,0.4634,0.0528,0.0122,0.2846,0,4,0,6
eage,244,10,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23;colawaf_o2,0.7213,0.2377,0.0451,0.0123,0.0451,5,0,10,8
anweald,239,6,cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeust,0.5565,0.4017,0.046,0.0,0.1464,0,4,0,6
wisa,232,6,cobenrul_o3;coblick_o23;coboeth_o2;cocura_o2;colacnu_o23;colawaf_o2,0.9052,0.0733,0.0129,0.0086,0.0043,6,0,6,5
willa,229,7,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cocura_o2;coeuphr;coeust,0.8035,0.1397,0.0393,0.0218,0.083,6,0,6,8
rice,223,7,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr,0.704,0.2556,0.0404,0.009,0.157,0,4,0,6
gear,205,9,coapollo_o3;cobenrul_o3;coblick_o23;coboeth_o2;cochronA_o23;cocura_o2;coeuphr;coeust;colacnu_o23,0.1366,0.5756,0.0341,0.2829,0.078,2,5,2,0
